Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
449,0.047142559,0.045048295,0.056575282,0.000132468
450,0.048268394,0.046406905,0.055862198,0.000331583
451,0.049123915,0.047066147,0.054595577,0.000181934
452,0.050179345,0.048187515,0.053818113,0.000320603
453,0.05089174,0.048901974,0.052708475,0.000153693
454,0.052247276,0.049902304,0.051461759,0.000376099
455,0.053048996,0.051092586,0.05050427,0.000267186
456,0.054031463,0.052100464,0.049463323,0.000210229
457,0.054854585,0.053001384,0.048097482,1.66294E-05
458,0.055860767,0.053973767,0.046871955,8.41722E-05
459,0.056913735,0.055021516,0.045818756,3.97635E-05
460,0.057975111,0.056092414,0.044517531,0.000137023
461,0.059307472,0.057069919,0.043403974,0.000234849
462,0.060093565,0.058129287,0.042266736,8.98142E-05
463,0.061135249,0.059075399,0.04118724,0.00033728
464,0.062225954,0.060282799,0.04019087,0.000358437
465,0.063340468,0.061471718,0.03889378,0.000384542
466,0.064487217,0.062438025,0.037815257,0.000260998
467,0.065530365,0.063382114,0.036883465,0.000257891
468,0.066625302,0.064482796,0.035937196,0.000305714
469,0.067532448,0.065505172,0.034752274,0.000256571
470,0.068656502,0.066458705,0.033660679,0.000580429
471,0.069422824,0.067267838,0.032468668,0.000281426
472,0.070438405,0.068350139,0.031464143,0.000197103
473,0.071276059,0.068986821,0.030139829,0.000326481
474,0.072135215,0.069671373,0.029125225,0.000365921
475,0.073086267,0.070243063,0.027888533,0.000390369
476,0.07376801,0.070905286,0.026601889,0.000574755
477,0.07454664,0.071383039,0.025467326,0.000520374
478,0.075162796,0.071909661,0.024292006,0.000292172
479,0.075878238,0.07236092,0.023016584,0.000548354
480,0.076071394,0.072576905,0.021744079,0.000345644
481,0.076430825,0.072742636,0.020469649,0.000586985
482,0.076800091,0.072832416,0.019174116,0.000553562
483,0.077043337,0.072692099,0.017830631,0.000579134
484,0.077312639,0.072829264,0.016765284,0.000664334
485,0.077283663,0.072440619,0.015442308,0.000630594
486,0.077151483,0.072364676,0.014170727,0.000759894
487,0.0771424,0.071944657,0.012883957,0.000757742
488,0.077004527,0.071560616,0.011728678,0.000785634
489,0.076758062,0.071273315,0.010581583,0.000700358
490,0.076315244,0.07107843,0.00970198,0.000695796
491,0.076190484,0.070952269,0.008888183,0.000733274
492,0.075974574,0.070284466,0.007894753,0.000780864
493,0.075674673,0.070083814,0.007127582,0.000777831
494,0.075493021,0.069794605,0.006426086,0.000945371
495,0.075130796,0.069539266,0.005614885,0.000990391
496,0.074602237,0.069112318,0.005204928,0.001157779
497,0.074336057,0.068921949,0.004520468,0.001120342
498,0.073899222,0.068590502,0.004044295,0.00130997
499,0.073410345,0.068193401,0.003436835,0.001268421
500,0.072693301,0.067632804,0.003145259,0.001309192
