Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
US,S39,16197238.2,583.1005752,3/14/2003 14:00,3/16/2003 17:25,
US,S40,298742.7675,20.61325096,4/4/2003 23:05,4/5/2003 1:00,
US,S41,47572.308,2.045609244,1/4/2004 17:00,1/5/2004 3:35,
US,S42,44457.4545,1.600468362,1/17/2004 9:20,1/17/2004 15:05,
US,S45,547647.879,19.71532364,1/3/2005 13:40,1/4/2005 0:00,
US,S46,728026.2135,26.20894369,1/5/2005 6:45,1/6/2005 12:15,
US,S47,27947598.28,1648.908298,1/11/2005 22:45,1/13/2005 7:25,
US,S48,1177131.455,42.37673236,2/19/2005 23:45,2/21/2005 0:30,
US,S49,686400.444,54.91203552,3/17/2005 16:30,3/18/2005 11:35,
US,S50,5769558.188,1142.372521,3/18/2005 15:20,3/19/2005 21:10,
US,S51,164804.067,5.932946412,1/20/2006 16:35,1/21/2006 4:55,
US,S52,164520.8985,5.922752346,2/11/2006 17:05,2/11/2006 23:35,
US,S53,1458034.607,53.94728044,2/15/2006 22:20,2/16/2006 21:45,
US,S55,27197484.92,1060.701912,3/7/2006 14:00,3/9/2006 9:05,
US,S56,1347032.555,48.49317196,12/1/2006 3:30,12/1/2006 21:45,
US,S57,588707.3115,21.19346321,1/14/2007 21:20,1/15/2007 12:30,
US,S59,3596239.95,316.4691156,2/23/2007 23:45,2/26/2007 8:30,
US,S60,7957034.85,1814.203946,3/1/2007 7:25,3/2/2007 6:10,
US,S61,3086536.65,148.1537592,4/11/2007 12:40,4/12/2007 4:05,
US,S62,125160.477,4.505777172,9/26/2007 5:50,9/26/2007 9:45,
US,S63,5266934.1,242.2789686,12/1/2007 13:40,12/3/2007 5:25,
US,S64,518198.355,25.3917194,12/11/2007 6:35,12/12/2007 4:30,
US,S65,42277057.05,1521.974054,1/5/2008 18:00,1/9/2008 7:15,
US,S66,17329912.2,1386.392976,2/17/2008 3:25,2/18/2008 5:15,
US,S68,26674472.7,960.2810172,3/25/2008 7:00,3/27/2008 6:10,
US,S71,2024088.438,724.6236608,11/30/2008 15:40,12/1/2008 11:00,
US,S72,1117949.238,44.71796952,12/8/2008 15:50,12/9/2008 21:55,
US,S73,308653.665,12.3461466,1/9/2009 6:50,1/9/2009 16:35,
US,S74,1335422.646,92.14416257,2/27/2009 6:35,2/27/2009 12:20,
US,S75,1829834.847,73.19339388,3/28/2009 19:15,3/29/2009 17:35,
US,S76,1399985.064,55.99940256,4/21/2009 7:25,4/21/2009 14:15,
US,S77,1765838.766,70.63355064,7/15/2009 5:20,7/15/2009 12:05,
US,S78,13846939.65,553.877586,12/8/2009 9:06,12/9/2009 12:51,
US,S79,15121197.9,604.847916,1/23/2010 14:50,1/25/2010 3:40,
US,S80,1415842.5,56.6337,2/9/2010 3:50,2/10/2010 5:50,
US,S81,10533868.2,421.354728,3/9/2010 15:45,3/11/2010 6:15,
US,S82,1529109.9,61.164396,4/8/2010 5:20,4/8/2010 11:25,
US,S83,2265348,90.61392,9/1/2010 3:40,9/1/2010 6:15,
